Variable,Comparison,ChatGPT_Mean,ChatGPT_SD,Math2Visual_Mean,Math2Visual_SD,Mean_Difference,Diff_SD,Shapiro_W,Shapiro_p,Test_Used,Test_Statistic,p_value,Effect_Size,Effect_Size_Type,Bonferroni_alpha,Significant,Custom_Mean,Custom_SD
easy_to_use,ChatGPT vs Math2Visual,3.0,2.0,5.833333333333333,0.983192080250175,-2.8333333333333335,2.136976056643281,0.9674307797437719,0.8747528094592982,Paired t-test,-3.2476830595786983,0.022754308462562444,-1.5116329759274794,Hedges' g,0.001851851851851852,NOT significant,,
easy_to_use,ChatGPT vs Custom,3.0,2.0,,,-2.8333333333333335,1.6020819787597222,0.808711482242983,0.07029506461449471,Paired t-test,-4.332001127219818,0.0074852037366684694,-1.5764463960615434,Hedges' g,0.001851851851851852,NOT significant,5.833333333333333,0.752772652709081
easy_to_use,Math2Visual vs Custom,,,5.833333333333333,0.983192080250175,0.0,1.4142135623730951,0.981763087591828,0.9599784992359675,Paired t-test,0.0,1.0,0.0,Hedges' g,0.001851851851851852,NOT significant,5.833333333333333,0.752772652709081
intuitive,ChatGPT vs Math2Visual,2.3333333333333335,1.96638416050035,5.0,1.4142135623730951,-2.6666666666666665,2.6583202716502514,0.9212051275868156,0.5140827978790279,Paired t-test,-2.457180467335805,0.05742722438289933,-1.3090439232001192,Hedges' g,0.001851851851851852,NOT significant,,
intuitive,ChatGPT vs Custom,2.3333333333333335,1.96638416050035,,,-2.8333333333333335,2.926886855802026,0.94282648945546,0.6820463736252683,Paired t-test,-2.3711954987696005,0.06385795279249085,-1.47261651066054,Hedges' g,0.001851851851851852,NOT significant,5.166666666666667,1.169045194450012
intuitive,Math2Visual vs Custom,,,5.0,1.4142135623730951,-0.16666666666666666,2.041241452319315,0.8221205867347663,0.09205319643449318,Paired t-test,-0.19999999999999998,0.8493605139958289,-0.10800152387521246,Hedges' g,0.001851851851851852,NOT significant,5.166666666666667,1.169045194450012
time_lots,ChatGPT vs Math2Visual,6.333333333333333,1.2110601416389966,3.0,2.0,3.3333333333333335,2.4221202832779936,0.9066998456422513,0.41504353135769123,Paired t-test,3.3709993123162105,0.019868051523379407,1.6951129504751925,Hedges' g,0.001851851851851852,NOT significant,,
time_lots,ChatGPT vs Custom,6.333333333333333,1.2110601416389966,,,3.1666666666666665,2.3166067138525404,0.8255684093070219,0.09854591432846727,Paired t-test,3.3483100400386467,0.02036643584997087,1.712616682115448,Hedges' g,0.001851851851851852,NOT significant,3.1666666666666665,1.834847859269718
time_lots,Math2Visual vs Custom,,,3.0,2.0,-0.16666666666666666,3.710345895825168,0.8893275612014325,0.31467947337047764,Paired t-test,-0.11002971203391536,0.9166656508709522,-0.07301203164644196,Hedges' g,0.001851851851851852,NOT significant,3.1666666666666665,1.834847859269718
effort_lots,ChatGPT vs Math2Visual,6.0,2.0,2.3333333333333335,1.96638416050035,3.6666666666666665,2.160246899469287,0.8395332497710835,0.1292087024827338,Paired t-test,4.157609203101499,0.008844553648948778,1.5543801787024298,Hedges' g,0.001851851851851852,NOT significant,,
effort_lots,ChatGPT vs Custom,6.0,2.0,,,2.0,2.5298221281347035,0.8268240054800324,0.1010100642465468,Paired t-test,1.9364916731037087,0.1105666907312355,0.9399856029866251,Hedges' g,0.001851851851851852,NOT significant,4.0,1.5491933384829668
effort_lots,Math2Visual vs Custom,,,2.3333333333333335,1.96638416050035,-1.6666666666666667,2.160246899469287,0.8395332497710839,0.12920870248273492,Paired t-test,-1.889822365046136,0.1173867951462933,-0.7916106813300564,Hedges' g,0.001851851851851852,NOT significant,4.0,1.5491933384829668
iterative_support,ChatGPT vs Math2Visual,1.5,0.8366600265340756,4.5,2.258317958127243,-3.0,2.0976176963403033,0.8904140527875128,0.32036295268877535,Paired t-test,-3.5032452487268535,0.017224549680341372,-1.4811138776120294,Hedges' g,0.001851851851851852,NOT significant,,
iterative_support,ChatGPT vs Custom,1.5,0.8366600265340756,,,-3.3333333333333335,1.8618986725025255,0.9495690650734785,0.7367904974338337,Paired t-test,-4.3852900965351465,0.00711921655557201,-2.340837899175155,Hedges' g,0.001851851851851852,NOT significant,4.833333333333333,1.4719601443879746
iterative_support,Math2Visual vs Custom,,,4.5,2.258317958127243,-0.3333333333333333,3.5023801430836525,0.9316718396438162,0.593073277880509,Paired t-test,-0.23312620206007845,0.8249065272991709,-0.14702538288599615,Hedges' g,0.001851851851851852,NOT significant,4.833333333333333,1.4719601443879746
accuracy_support,ChatGPT vs Math2Visual,1.1666666666666667,0.408248290463863,5.333333333333333,1.505545305418162,-4.166666666666667,1.602081978759722,0.9082245810813888,0.42481956403553034,Paired t-test,-6.370589892970321,0.0014095562508656609,-3.17591703547721,Hedges' g,0.001851851851851852,SIGNIFICANT,,
accuracy_support,ChatGPT vs Custom,1.1666666666666667,0.408248290463863,,,-4.0,1.5491933384829668,0.9129061803150095,0.45578992202174207,Paired t-test,-6.324555320336758,0.0014565817942910077,-3.1135281163138826,Hedges' g,0.001851851851851852,SIGNIFICANT,5.166666666666667,1.4719601443879746
